asin,forecast_creation_date,target_week,model_name,demand,p50_fcst,p60_fcst,p80_fcst,p90_fcst
FDH2487304,11/20/2016,11/20/2016,Model A,33,22.58,26.57,37.52,47.33
FDH2487304,11/20/2016,11/20/2016,Model B,33,9.19,12.66,23.6,34.68
FDH2487304,11/20/2016,11/27/2016,Model A,73,32.51,38.8,56.33,72.26
FDH2487304,11/20/2016,11/27/2016,Model B,73,19.45,25.23,42.62,59.56
FDH2487304,11/20/2016,12/4/2016,Model A,37,33.32,41.89,67.02,90.96
FDH2487304,11/20/2016,12/4/2016,Model B,37,21.04,27.34,46.36,64.93
FDH2487304,11/20/2016,12/11/2016,Model A,29,39.24,51.06,86.96,122.2
FDH2487304,11/20/2016,12/11/2016,Model B,29,13.27,18.03,32.92,47.93
FDH2487304,11/20/2016,12/18/2016,Model A,27,21.55,28.88,51.71,74.58
FDH2487304,11/20/2016,12/18/2016,Model B,27,4.96,8.31,20.73,34.91
FDH2487304,11/20/2016,12/25/2016,Model A,6,12.23,15.5,25.06,34.15
FDH2487304,11/20/2016,12/25/2016,Model B,6,1.91,3.99,12.54,23
FDH2487304,11/20/2016,1/1/2017,Model A,10,12.15,15.58,25.74,35.5
FDH2487304,11/20/2016,1/1/2017,Model B,10,3.9,6.13,13.75,21.99
FDH2487304,11/20/2016,1/8/2017,Model A,16,10.91,13.84,22.39,30.52
FDH2487304,11/20/2016,1/8/2017,Model B,16,4.44,6.71,14.32,22.39
FDH2487304,11/20/2016,1/15/2017,Model A,13,10.94,13.75,21.89,29.57
FDH2487304,11/20/2016,1/15/2017,Model B,13,4.23,6.62,14.84,23.72
FDH2487304,11/20/2016,1/22/2017,Model A,6,10.28,13.23,21.98,30.38
FDH2487304,11/20/2016,1/22/2017,Model B,6,4.54,6.95,15.09,23.79
ZQL5139242,11/20/2016,11/20/2016,Model A,403,663.37,753.16,991.81,1199.1
ZQL5139242,11/20/2016,11/20/2016,Model B,403,717.81,784.96,956.63,1099.87
ZQL5139242,11/20/2016,11/27/2016,Model A,387,767.66,884.25,1198.82,1476.12
ZQL5139242,11/20/2016,11/27/2016,Model B,387,794.03,886.48,1127.98,1334.07
ZQL5139242,11/20/2016,12/4/2016,Model A,385,665.97,769.91,1051.4,1300.44
ZQL5139242,11/20/2016,12/4/2016,Model B,385,796.88,895.69,1155.61,1379.03
ZQL5139242,11/20/2016,12/11/2016,Model A,425,615.07,755.83,1161.54,1542.05
ZQL5139242,11/20/2016,12/11/2016,Model B,425,731.7,827.06,1079.36,1297.5
ZQL5139242,11/20/2016,12/18/2016,Model A,325,414.58,505.33,764.67,1006.06
ZQL5139242,11/20/2016,12/18/2016,Model B,325,616.67,704.73,940.35,1146.38
ZQL5139242,11/20/2016,12/25/2016,Model A,272,285.39,339.74,491.34,629.33
ZQL5139242,11/20/2016,12/25/2016,Model B,272,465.8,536.47,727.09,895.08
ZQL5139242,11/20/2016,1/1/2017,Model A,345,316.4,380.42,560.85,726.65
ZQL5139242,11/20/2016,1/1/2017,Model B,345,359.67,405.21,525.25,628.67
ZQL5139242,11/20/2016,1/8/2017,Model A,378,277.84,337.19,506.02,662.51
ZQL5139242,11/20/2016,1/8/2017,Model B,378,344.53,381.52,477.31,558.32
ZQL5139242,11/20/2016,1/15/2017,Model A,310,260.62,320.58,493.48,655.72
ZQL5139242,11/20/2016,1/15/2017,Model B,310,362.23,393.83,474.1,540.64
ZQL5139242,11/20/2016,1/22/2017,Model A,266,256.99,310.76,463.15,603.91
ZQL5139242,11/20/2016,1/22/2017,Model B,266,364.37,396.02,476.4,543
EPS1344060,11/20/2016,11/20/2016,Model A,655,348.69,402.81,549.23,678.67
EPS1344060,11/20/2016,11/20/2016,Model B,655,314.58,345.65,425.44,492.36
EPS1344060,11/20/2016,11/27/2016,Model A,430,350.65,406.77,559.25,694.59
EPS1344060,11/20/2016,11/27/2016,Model B,430,361.83,405.5,519.99,618.08
EPS1344060,11/20/2016,12/4/2016,Model A,466,252.6,301.26,437.26,561.26
EPS1344060,11/20/2016,12/4/2016,Model B,466,365.69,413.53,540.12,649.61
EPS1344060,11/20/2016,12/11/2016,Model A,388,237.39,295.75,466.26,628.1
EPS1344060,11/20/2016,12/11/2016,Model B,388,328.3,373.22,492.78,596.75
EPS1344060,11/20/2016,12/18/2016,Model A,317,149.52,183.94,283.16,376.24
EPS1344060,11/20/2016,12/18/2016,Model B,317,264.03,304.28,412.88,508.63
EPS1344060,11/20/2016,12/25/2016,Model A,216,88.8,108.07,162.98,213.95
EPS1344060,11/20/2016,12/25/2016,Model B,216,189.75,220.92,305.91,381.59
EPS1344060,11/20/2016,1/1/2017,Model A,178,81.3,97.63,143.52,185.58
EPS1344060,11/20/2016,1/1/2017,Model B,178,142.33,162.12,214.87,260.81
EPS1344060,11/20/2016,1/8/2017,Model A,239,56.08,66.84,96.85,124.15
EPS1344060,11/20/2016,1/8/2017,Model B,239,140.54,155.54,194.35,227.14
EPS1344060,11/20/2016,1/15/2017,Model A,196,51.75,61.42,88.23,112.52
EPS1344060,11/20/2016,1/15/2017,Model B,196,155.84,168.63,200.93,227.56
EPS1344060,11/20/2016,1/22/2017,Model A,211,50.89,60,85.08,107.65
EPS1344060,11/20/2016,1/22/2017,Model B,211,160.77,175.11,211.58,241.85
QQN6856716,11/20/2016,11/20/2016,Model A,172,121.82,142.86,200.59,252.35
QQN6856716,11/20/2016,11/20/2016,Model B,172,135.14,148.35,182.22,210.59
QQN6856716,11/20/2016,11/27/2016,Model A,165,153.33,188.27,288.8,382.95
QQN6856716,11/20/2016,11/27/2016,Model B,165,181.94,202.92,257.64,304.27
QQN6856716,11/20/2016,12/4/2016,Model A,215,176.21,226.84,379.7,528.99
QQN6856716,11/20/2016,12/4/2016,Model B,215,207.58,233.89,303.23,362.96
QQN6856716,11/20/2016,12/11/2016,Model A,266,200.88,243.16,363.07,473.92
QQN6856716,11/20/2016,12/11/2016,Model B,266,210.36,239.91,318.78,387.57
QQN6856716,11/20/2016,12/18/2016,Model A,176,142.43,171.22,252.3,326.75
QQN6856716,11/20/2016,12/18/2016,Model B,176,192.44,220.72,296.63,363.23
QQN6856716,11/20/2016,12/25/2016,Model A,114,114.46,135.57,194.09,247.06
QQN6856716,11/20/2016,12/25/2016,Model B,114,148.78,172.23,235.76,292
QQN6856716,11/20/2016,1/1/2017,Model A,121,152.19,180.02,257.12,326.84
QQN6856716,11/20/2016,1/1/2017,Model B,121,114.2,130.08,172.38,209.22
QQN6856716,11/20/2016,1/8/2017,Model A,114,151.86,178.6,252.23,318.45
QQN6856716,11/20/2016,1/8/2017,Model B,114,111.85,125.12,159.84,189.51
QQN6856716,11/20/2016,1/15/2017,Model A,119,154,182.66,262.25,334.42
QQN6856716,11/20/2016,1/15/2017,Model B,119,121.45,132.95,162.34,186.87
QQN6856716,11/20/2016,1/22/2017,Model A,115,157.97,185.26,260.18,327.37
QQN6856716,11/20/2016,1/22/2017,Model B,115,124.42,136.73,168.32,194.8
XMY5118987,11/20/2016,11/20/2016,Model A,32,35.57,40.77,54.69,66.87
XMY5118987,11/20/2016,11/20/2016,Model B,32,28,32.09,43.02,52.56
XMY5118987,11/20/2016,11/27/2016,Model A,33,49.06,57.81,81.93,103.61
XMY5118987,11/20/2016,11/27/2016,Model B,33,32.06,36.06,46.56,55.56
XMY5118987,11/20/2016,12/4/2016,Model A,61,49.1,58.4,84.25,107.69
XMY5118987,11/20/2016,12/4/2016,Model B,61,34.64,39.08,50.76,60.81
XMY5118987,11/20/2016,12/11/2016,Model A,68,50.89,62.82,97.24,129.55
XMY5118987,11/20/2016,12/11/2016,Model B,68,35.62,40.52,53.54,64.83
XMY5118987,11/20/2016,12/18/2016,Model A,39,29.94,37.61,60.07,81.43
XMY5118987,11/20/2016,12/18/2016,Model B,39,34.7,39.13,50.8,60.83
XMY5118987,11/20/2016,12/25/2016,Model A,31,21.37,26.55,41.52,55.58
XMY5118987,11/20/2016,12/25/2016,Model B,31,31.58,35.74,46.7,56.16
XMY5118987,11/20/2016,1/1/2017,Model A,39,23.67,29.09,44.62,59.08
XMY5118987,11/20/2016,1/1/2017,Model B,39,29.26,33.2,43.62,52.62
XMY5118987,11/20/2016,1/8/2017,Model A,38,21.42,26.24,40,52.78
XMY5118987,11/20/2016,1/8/2017,Model B,38,28.94,33.03,43.91,53.37
XMY5118987,11/20/2016,1/15/2017,Model A,14,21.8,26.46,39.64,51.78
XMY5118987,11/20/2016,1/15/2017,Model B,14,29.95,34.09,45.09,54.63
XMY5118987,11/20/2016,1/22/2017,Model A,41,20.74,25.24,37.98,49.74
XMY5118987,11/20/2016,1/22/2017,Model B,41,29.71,33.81,44.68,54.12
XIA5017124,11/20/2016,11/20/2016,Model A,236,156.12,180.37,245.94,303.88
XIA5017124,11/20/2016,11/20/2016,Model B,236,140.59,156.07,196.28,230.36
XIA5017124,11/20/2016,11/27/2016,Model A,316,155.83,188.91,282.85,369.79
XIA5017124,11/20/2016,11/27/2016,Model B,316,188.15,211.74,273.85,327.28
XIA5017124,11/20/2016,12/4/2016,Model A,220,126.9,159.36,254.89,346.15
XIA5017124,11/20/2016,12/4/2016,Model B,220,205.15,233.24,307.98,372.96
XIA5017124,11/20/2016,12/11/2016,Model A,237,118.87,152.64,254.28,353.27
XIA5017124,11/20/2016,12/11/2016,Model B,237,191.11,218.8,293.01,357.98
XIA5017124,11/20/2016,12/18/2016,Model A,149,73.05,93.56,155.05,214.75
XIA5017124,11/20/2016,12/18/2016,Model B,149,156.54,182.17,251.99,314.14
XIA5017124,11/20/2016,12/25/2016,Model A,145,47.98,60.09,95.57,129.3
XIA5017124,11/20/2016,12/25/2016,Model B,145,117.14,138.35,196.99,249.92
XIA5017124,11/20/2016,1/1/2017,Model A,174,41.33,52.29,84.69,115.76
XIA5017124,11/20/2016,1/1/2017,Model B,174,92.31,108.07,151.23,189.85
XIA5017124,11/20/2016,1/8/2017,Model A,207,29.71,37.13,58.74,79.21
XIA5017124,11/20/2016,1/8/2017,Model B,207,90.79,104.56,141.68,174.36
XIA5017124,11/20/2016,1/15/2017,Model A,156,28.06,35.23,56.23,76.19
XIA5017124,11/20/2016,1/15/2017,Model B,156,98.86,111.22,143.73,171.67
XIA5017124,11/20/2016,1/22/2017,Model A,155,26.35,33.26,53.56,72.95
XIA5017124,11/20/2016,1/22/2017,Model B,155,102.34,115.01,148.32,176.92
LEA8356068,11/20/2016,11/20/2016,Model A,31,32.92,37.92,51.38,63.19
LEA8356068,11/20/2016,11/20/2016,Model B,31,27.48,31.99,44.25,55.11
LEA8356068,11/20/2016,11/27/2016,Model A,57,49.37,58.32,83.03,105.3
LEA8356068,11/20/2016,11/27/2016,Model B,57,37.97,43.84,59.66,73.59
LEA8356068,11/20/2016,12/4/2016,Model A,58,49.84,59.09,84.72,107.9
LEA8356068,11/20/2016,12/4/2016,Model B,58,40.61,47.12,64.78,80.4
LEA8356068,11/20/2016,12/11/2016,Model A,66,60.61,74.35,113.75,150.56
LEA8356068,11/20/2016,12/11/2016,Model B,66,35.48,41.15,56.51,70.09
LEA8356068,11/20/2016,12/18/2016,Model A,50,32.83,41.05,65.01,87.73
LEA8356068,11/20/2016,12/18/2016,Model B,50,27.99,32.79,45.89,57.58
LEA8356068,11/20/2016,12/25/2016,Model A,18,18.09,22.57,35.53,47.74
LEA8356068,11/20/2016,12/25/2016,Model B,18,23.59,27.42,37.78,46.95
LEA8356068,11/20/2016,1/1/2017,Model A,20,20.32,25.34,39.87,53.57
LEA8356068,11/20/2016,1/1/2017,Model B,20,22.51,25.87,34.83,42.67
LEA8356068,11/20/2016,1/8/2017,Model A,20,16.63,20.35,30.95,40.75
LEA8356068,11/20/2016,1/8/2017,Model B,20,21.32,24.6,33.42,41.17
LEA8356068,11/20/2016,1/15/2017,Model A,24,15.11,18.73,29.14,38.87
LEA8356068,11/20/2016,1/15/2017,Model B,24,21.34,24.52,33.03,40.47
LEA8356068,11/20/2016,1/22/2017,Model A,26,15.05,18.62,28.86,38.41
LEA8356068,11/20/2016,1/22/2017,Model B,26,20.26,23.22,31.11,37.99
ZKD2774995,11/20/2016,11/20/2016,Model A,96,79.79,93.86,132.58,167.38
