"","id","Season","Daynum","ID_SeasonTeam1","Team1","ID_SeasonTeam2","Team2","Seed_num_Team1","Seed_Pre_Team1","Seed_Diff_Team1","Seed_num_Team2","Seed_Pre_Team2","Seed_Diff_Team2","Seed_Diff","Result"
"1","1986_1112_1120",1986,137,"1986_1112",1112,"1986_1120",1120,9,10,1,8,11,3,-1,"Lose"
"2","1986_1177_1181",1986,144,"1986_1177",1177,"1986_1181",1181,12,10,-2,1,3,2,-11,"Lose"
"3","1986_1104_1228",1986,139,"1986_1104",1104,"1986_1228",1228,5,7,2,4,3,-1,-1,"Win"
"4","1986_1193_1228",1986,137,"1986_1193",1193,"1986_1228",1228,13,20,7,4,3,-1,-9,"Lose"
"5","1986_1156_1231",1986,137,"1986_1156",1156,"1986_1231",1231,14,20,6,3,20,17,-11,"Win"
"6","1986_1181_1242",1986,152,"1986_1181",1181,"1986_1242",1242,1,3,2,1,3,2,0,"Win"
"7","1986_1104_1246",1986,143,"1986_1104",1104,"1986_1246",1246,5,7,2,1,12,11,-4,"Lose"
"8","1986_1172_1246",1986,137,"1986_1172",1172,"1986_1246",1246,16,20,4,1,12,11,-15,"Lose"
"9","1986_1133_1257",1986,138,"1986_1133",1133,"1986_1257",1257,7,20,13,2,20,18,-5,"Lose"
"10","1986_1120_1257",1986,145,"1986_1120",1120,"1986_1257",1257,8,11,3,2,20,18,-6,"Lose"
"11","1986_1180_1257",1986,136,"1986_1180",1180,"1986_1257",1257,15,20,5,2,20,18,-13,"Lose"
"12","1986_1181_1257",1986,154,"1986_1181",1181,"1986_1257",1257,1,3,2,2,20,18,1,"Lose"
"13","1986_1210_1261",1986,143,"1986_1210",1210,"1986_1261",1261,2,2,0,11,4,-7,9,"Lose"
"14","1986_1246_1261",1986,145,"1986_1246",1246,"1986_1261",1261,1,12,11,11,4,-7,10,"Lose"
"15","1986_1257_1261",1986,152,"1986_1257",1257,"1986_1261",1261,2,20,18,11,4,-7,9,"Win"
"16","1986_1210_1265",1986,136,"1986_1210",1210,"1986_1265",1265,2,2,0,15,20,5,13,"Win"
"17","1986_1123_1272",1986,136,"1986_1123",1123,"1986_1272",1272,14,20,6,3,2,-1,-11,"Lose"
"18","1986_1261_1272",1986,138,"1986_1261",1261,"1986_1272",1272,11,4,-7,3,2,-1,-8,"Win"
"19","1986_1235_1275",1986,137,"1986_1235",1235,"1986_1275",1275,7,13,6,10,12,2,3,"Win"
"20","1986_1103_1276",1986,137,"1986_1103",1103,"1986_1276",1276,15,20,5,2,1,-1,-13,"Lose"
"21","1986_1235_1276",1986,139,"1986_1235",1235,"1986_1276",1276,7,13,6,2,1,-1,-5,"Win"
"22","1986_1207_1277",1986,138,"1986_1207",1207,"1986_1277",1277,4,1,-3,5,10,5,1,"Lose"
"23","1986_1242_1277",1986,144,"1986_1242",1242,"1986_1277",1277,1,3,2,5,10,5,4,"Win"
"24","1986_1181_1290",1986,136,"1986_1181",1181,"1986_1290",1290,1,3,2,16,20,4,15,"Win"
"25","1986_1156_1298",1986,144,"1986_1156",1156,"1986_1298",1298,14,20,6,7,13,6,-7,"Lose"
"26","1986_1181_1298",1986,146,"1986_1181",1181,"1986_1298",1298,1,3,2,7,13,6,6,"Win"
"27","1986_1242_1299",1986,136,"1986_1242",1242,"1986_1299",1299,1,3,2,16,16,0,15,"Win"
"28","1986_1234_1301",1986,137,"1986_1234",1234,"1986_1301",1301,11,8,-3,6,3,-3,-5,"Lose"
"29","1986_1114_1301",1986,139,"1986_1114",1114,"1986_1301",1301,14,20,6,6,3,-3,-8,"Lose"
"30","1986_1242_1301",1986,146,"1986_1242",1242,"1986_1301",1301,1,3,2,6,3,-3,5,"Win"
"31","1986_1235_1301",1986,144,"1986_1235",1235,"1986_1301",1301,7,13,6,6,3,-3,-1,"Lose"
"32","1986_1257_1314",1986,143,"1986_1257",1257,"1986_1314",1314,2,20,18,3,2,-1,1,"Win"
"33","1986_1114_1323",1986,137,"1986_1114",1114,"1986_1323",1323,14,20,6,3,7,4,-11,"Win"
"34","1986_1318_1328",1986,136,"1986_1318",1318,"1986_1328",1328,13,14,1,4,1,-3,-9,"Lose"
"35","1986_1177_1328",1986,138,"1986_1177",1177,"1986_1328",1328,12,10,-2,4,1,-3,-8,"Win"
"36","1986_1181_1330",1986,138,"1986_1181",1181,"1986_1330",1330,1,3,2,8,12,4,7,"Win"
"37","1986_1268_1337",1986,137,"1986_1268",1268,"1986_1337",1337,5,5,0,12,14,2,7,"Win"
"38","1986_1261_1345",1986,136,"1986_1261",1261,"1986_1345",1345,11,4,-7,6,6,0,-5,"Win"
"39","1986_1120_1385",1986,139,"1986_1120",1120,"1986_1385",1385,8,11,3,1,1,0,-7,"Win"
"40","1986_1286_1385",1986,137,"1986_1286",1286,"1986_1385",1385,16,20,4,1,1,0,-15,"Lose"
"41","1986_1350_1386",1986,137,"1986_1350",1350,"1986_1386",1386,11,20,9,6,20,14,-5,"Lose"
"42","1986_1156_1386",1986,139,"1986_1156",1156,"1986_1386",1386,14,20,6,6,20,14,-8,"Win"
"43","1986_1298_1393",1986,139,"1986_1298",1298,"1986_1393",1393,7,13,6,2,7,5,-5,"Win"
"44","1986_1135_1393",1986,137,"1986_1135",1135,"1986_1393",1393,15,20,5,2,7,5,-13,"Lose"
"45","1986_1242_1396",1986,138,"1986_1242",1242,"1986_1396",1396,1,3,2,9,8,-1,8,"Win"
"46","1986_1239_1396",1986,136,"1986_1239",1239,"1986_1396",1396,8,20,12,9,8,-1,1,"Lose"
"47","1986_1207_1403",1986,136,"1986_1207",1207,"1986_1403",1403,4,1,-3,13,6,-7,9,"Win"
"48","1986_1298_1409",1986,137,"1986_1298",1298,"1986_1409",1409,7,13,6,10,6,-4,3,"Win"
"49","1986_1281_1412",1986,136,"1986_1281",1281,"1986_1412",1412,11,20,9,6,7,1,-5,"Lose"
"50","1986_1314_1412",1986,138,"1986_1314",1314,"1986_1412",1412,3,2,-1,6,7,1,3,"Win"
"51","1986_1120_1424",1986,143,"1986_1120",1120,"1986_1424",1424,8,11,3,4,4,0,-4,"Win"
"52","1986_1268_1424",1986,139,"1986_1268",1268,"1986_1424",1424,5,5,0,4,4,0,-1,"Lose"
"53","1986_1419_1424",1986,137,"1986_1419",1419,"1986_1424",1424,13,20,7,4,4,0,-9,"Lose"
"54","1986_1314_1428",1986,136,"1986_1314",1314,"1986_1428",1428,3,2,-1,14,20,6,11,"Win"
"55","1986_1133_1431",1986,136,"1986_1133",1133,"1986_1431",1431,7,20,13,10,11,1,3,"Win"
"56","1986_1210_1437",1986,138,"1986_1210",1210,"1986_1437",1437,2,2,0,10,8,-2,8,"Win"
"57","1986_1177_1438",1986,136,"1986_1177",1177,"1986_1438",1438,12,10,-2,5,20,15,-7,"Win"
"58","1986_1437_1439",1986,136,"1986_1437",1437,"1986_1439",1439,10,8,-2,7,9,2,-3,"Win"
"59","1986_1246_1443",1986,139,"1986_1246",1246,"1986_1443",1443,1,12,11,8,20,12,7,"Win"
"60","1986_1304_1443",1986,137,"1986_1304",1304,"1986_1443",1443,9,20,11,8,20,12,-1,"Lose"
"61","1986_1277_1449",1986,136,"1986_1277",1277,"1986_1449",1449,5,10,5,12,5,-7,7,"Win"
"62","1986_1330_1452",1986,136,"1986_1330",1330,"1986_1452",1452,8,12,4,9,20,11,1,"Win"
"63","1986_1104_1462",1986,137,"1986_1104",1104,"1986_1462",1462,5,7,2,12,20,8,7,"Win"
"64","1987_1137_1207",1987,137,"1987_1137",1137,"1987_1207",1207,16,20,4,1,4,3,-15,"Lose"
"65","1987_1122_1228",1987,136,"1987_1122",1122,"1987_1228",1228,14,20,6,3,4,1,-11,"Win"
"66","1987_1120_1231",1987,138,"1987_1120",1120,"1987_1231",1231,8,8,0,1,3,2,-7,"Lose"
"67","1987_1193_1231",1987,136,"1987_1193",1193,"1987_1231",1231,16,13,-3,1,3,2,-15,"Lose"
"68","1987_1181_1231",1987,144,"1987_1181",1181,"1987_1231",1231,5,1,-4,1,3,2,-4,"Lose"
"69","1987_1207_1242",1987,143,"1987_1207",1207,"1987_1242",1242,1,4,3,5,1,-4,4,"Win"
"70","1987_1222_1242",1987,137,"1987_1222",1222,"1987_1242",1242,12,20,8,5,1,-4,-7,"Lose"
"71","1987_1208_1243",1987,136,"1987_1208",1208,"1987_1243",1243,8,20,12,9,20,11,1,"Lose"
"72","1987_1177_1256",1987,137,"1987_1177",1177,"1987_1256",1256,3,12,9,14,20,6,11,"Win"
"73","1987_1210_1261",1987,137,"1987_1210",1210,"1987_1261",1261,7,2,-5,10,11,1,3,"Lose"
"74","1987_1177_1261",1987,144,"1987_1177",1177,"1987_1261",1261,3,12,9,10,11,1,7,"Lose"
"75","1987_1231_1261",1987,146,"1987_1231",1231,"1987_1261",1261,1,3,2,10,11,1,9,"Win"
"76","1987_1155_1283",1987,137,"1987_1155",1155,"1987_1283",1283,4,20,16,13,20,7,9,"Lose"
"77","1987_1242_1283",1987,139,"1987_1242",1242,"1987_1283",1283,5,1,-4,13,20,7,8,"Win"
"78","1987_1276_1298",1987,136,"1987_1276",1276,"1987_1298",1298,9,2,-7,8,7,-1,-1,"Win"
"79","1987_1104_1299",1987,136,"1987_1104",1104,"1987_1299",1299,2,5,3,15,16,1,13,"Win"
"80","1987_1196_1301",1987,137,"1987_1196",1196,"1987_1301",1301,6,20,14,11,6,-5,5,"Win"
"81","1987_1104_1309",1987,138,"1987_1104",1104,"1987_1309",1309,2,5,3,7,20,13,5,"Win"
"82","1987_1140_1309",1987,136,"1987_1140",1140,"1987_1309",1309,10,20,10,7,20,13,-3,"Lose"
"83","1987_1276_1314",1987,138,"1987_1276",1276,"1987_1314",1314,9,2,-7,1,3,2,-8,"Lose"
"84","1987_1292_1323",1987,136,"1987_1292",1292,"1987_1323",1323,12,20,8,5,3,-2,-7,"Lose"
"85","1987_1314_1323",1987,143,"1987_1314",1314,"1987_1323",1323,1,3,2,5,3,-2,4,"Win"
"86","1987_1246_1326",1987,137,"1987_1246",1246,"1987_1326",1326,8,1,-7,9,20,11,1,"Lose"
"87","1987_1207_1326",1987,139,"1987_1207",1207,"1987_1326",1326,1,4,3,9,20,11,8,"Win"
"88","1987_1234_1328",1987,144,"1987_1234",1234,"1987_1328",1328,2,11,9,6,4,-2,4,"Win"
"89","1987_1314_1335",1987,136,"1987_1314",1314,"1987_1335",1335,1,3,2,16,20,4,15,"Win"
"90","1987_1328_1338",1987,139,"1987_1328",1328,"1987_1338",1338,6,4,-2,3,20,17,-3,"Win"
"91","1987_1265_1338",1987,137,"1987_1265",1265,"1987_1338",1338,14,15,1,3,20,17,-11,"Lose"
"92","1987_1104_1344",1987,143,"1987_1104",1104,"1987_1344",1344,2,5,3,6,20,14,4,"Lose"
"93","1987_1207_1344",1987,145,"1987_1207",1207,"1987_1344",1344,1,4,3,6,20,14,5,"Lose"
"94","1987_1122_1344",1987,138,"1987_1122",1122,"1987_1344",1344,14,20,6,6,20,14,-8,"Lose"
"95","1987_1196_1345",1987,139,"1987_1196",1196,"1987_1345",1345,6,20,14,3,6,3,-3,"Win"
"96","1987_1318_1345",1987,137,"1987_1318",1318,"1987_1345",1345,14,13,-1,3,6,3,-11,"Lose"
"97","1987_1120_1360",1987,136,"1987_1120",1120,"1987_1360",1360,8,8,0,9,20,11,1,"Win"
"98","1987_1234_1365",1987,137,"1987_1234",1234,"1987_1365",1365,2,11,9,15,20,5,13,"Win"
"99","1987_1177_1385",1987,139,"1987_1177",1177,"1987_1385",1385,3,12,9,6,1,-5,3,"Win"
"100","1987_1344_1393",1987,152,"1987_1344",1344,"1987_1393",1393,6,20,14,2,2,0,-4,"Lose"
"101","1987_1204_1393",1987,137,"1987_1204",1204,"1987_1393",1393,15,20,5,2,2,0,-13,"Lose"
"102","1987_1196_1393",1987,143,"1987_1196",1196,"1987_1393",1393,6,20,14,2,2,0,-4,"Lose"
"103","1987_1231_1393",1987,154,"1987_1231",1231,"1987_1393",1393,1,3,2,2,2,0,1,"Win"
"104","1987_1314_1393",1987,145,"1987_1314",1314,"1987_1393",1393,1,3,2,2,2,0,1,"Lose"
"105","1987_1267_1395",1987,136,"1987_1267",1267,"1987_1395",1395,13,20,7,4,20,16,-9,"Lose"
"106","1987_1323_1395",1987,138,"1987_1323",1323,"1987_1395",1395,5,3,-2,4,20,16,-1,"Win"
"107","1987_1261_1396",1987,139,"1987_1261",1261,"1987_1396",1396,10,11,1,2,9,7,-8,"Win"
"108","1987_1380_1396",1987,137,"1987_1380",1380,"1987_1396",1396,15,20,5,2,9,7,-13,"Lose"
"109","1987_1181_1401",1987,136,"1987_1181",1181,"1987_1401",1401,5,1,-4,12,20,8,7,"Win"
"110","1987_1328_1409",1987,137,"1987_1328",1328,"1987_1409",1409,6,4,-2,11,10,-1,5,"Win"
"111","1987_1344_1412",1987,136,"1987_1344",1344,"1987_1412",1412,6,20,14,11,6,-5,5,"Win"
"112","1987_1141_1417",1987,136,"1987_1141",1141,"1987_1417",1417,13,20,7,4,20,16,-9,"Lose"
"113","1987_1234_1424",1987,146,"1987_1234",1234,"1987_1424",1424,2,11,9,1,4,3,-1,"Lose"
"114","1987_1231_1424",1987,152,"1987_1231",1231,"1987_1424",1424,1,3,2,1,4,3,0,"Win"
"115","1987_1226_1424",1987,136,"1987_1226",1226,"1987_1424",1424,16,20,4,1,4,3,-15,"Lose"
"116","1987_1243_1424",1987,138,"1987_1243",1243,"1987_1424",1424,9,20,11,1,4,3,-8,"Lose"
"117","1987_1112_1431",1987,137,"1987_1112",1112,"1987_1431",1431,10,9,-1,7,10,3,-3,"Lose"
