"","Var1","Var2","correlation","abs_cor"
"1098","Winning_percent_Team1","Games_won_Team1",0.933482073418346,0.933482073418346
"1233","Games_won_Team1","Winning_percent_Team1",0.933482073418346,0.933482073418346
"3153","FGA3_avg_Team1","FGM3_avg_Team1",0.930504916906186,0.930504916906186
"3288","FGM3_avg_Team1","FGA3_avg_Team1",0.930504916906186,0.930504916906186
"9455","FGA3_avg_Team2","FGM3_avg_Team2",0.92958216696222,0.92958216696222
"9590","FGM3_avg_Team2","FGA3_avg_Team2",0.92958216696222,0.92958216696222
"10140","FTA_avg_Team2","FTM_avg_Team2",0.927830313566212,0.927830313566212
"10275","FTM_avg_Team2","FTA_avg_Team2",0.927830313566212,0.927830313566212
"7400","Winning_percent_Team2","Games_won_Team2",0.916057119528938,0.916057119528938
"7535","Games_won_Team2","Winning_percent_Team2",0.916057119528938,0.916057119528938
"3838","FTA_avg_Team1","FTM_avg_Team1",0.912558918379941,0.912558918379941
"3973","FTM_avg_Team1","FTA_avg_Team1",0.912558918379941,0.912558918379941
"1379","FGM_avg_Team1","Score_avg_Team1",0.909043292806639,0.909043292806639
"2459","Score_avg_Team1","FGM_avg_Team1",0.909043292806639,0.909043292806639
"7715","EFF_Team2","Score_avg_Team2",0.90891919426568,0.90891919426568
"13385","Score_avg_Team2","EFF_Team2",0.90891919426568,0.90891919426568
"7681","FGM_avg_Team2","Score_avg_Team2",0.908024878481079,0.908024878481079
"8761","Score_avg_Team2","FGM_avg_Team2",0.908024878481079,0.908024878481079
"13736","EFF_diff","Score_avg_diff",0.905525593902574,0.905525593902574
"18461","Score_avg_diff","EFF_diff",0.905525593902574,0.905525593902574
"1413","EFF_Team1","Score_avg_Team1",0.900527443515917,0.900527443515917
"7083","Score_avg_Team1","EFF_Team1",0.900527443515917,0.900527443515917
"10298","PF_avg_opp_Team2","FTA_avg_Team2",0.895675766074188,0.895675766074188
"13268","FTA_avg_Team2","PF_avg_opp_Team2",0.895675766074188,0.895675766074188
"3996","PF_avg_opp_Team1","FTA_avg_Team1",0.894991728092727,0.894991728092727
"6966","FTA_avg_Team1","PF_avg_opp_Team1",0.894991728092727,0.894991728092727
"10831","OR_percent_Team2","OR_avg_Team2",0.891612353346799,0.891612353346799
"11776","OR_avg_Team2","OR_percent_Team2",0.891612353346799,0.891612353346799
"2501","EFF_Team1","FGM_avg_Team1",0.889545780628851,0.889545780628851
"7091","FGM_avg_Team1","EFF_Team1",0.889545780628851,0.889545780628851
"15900","OR_percent_diff","OR_diff",0.885254750711843,0.885254750711843
"16845","OR_diff","OR_percent_diff",0.885254750711843,0.885254750711843
"8803","EFF_Team2","FGM_avg_Team2",0.881083527442597,0.881083527442597
"13393","FGM_avg_Team2","EFF_Team2",0.881083527442597,0.881083527442597
"4529","OR_percent_Team1","OR_avg_Team1",0.872733965806877,0.872733965806877
"5474","OR_avg_Team1","OR_percent_Team1",0.872733965806877,0.872733965806877
"17403","STL_diff","TO_opp_diff",-0.870901164210508,0.870901164210508
"17808","TO_opp_diff","STL_diff",-0.870901164210508,0.870901164210508
"6032","STL_avg_Team1","TO_avg_opp_Team1",0.869613603156003,0.869613603156003
"6437","TO_avg_opp_Team1","STL_avg_Team1",0.869613603156003,0.869613603156003
"12334","STL_avg_Team2","TO_avg_opp_Team2",0.863746738660734,0.863746738660734
"12739","TO_avg_opp_Team2","STL_avg_Team2",0.863746738660734,0.863746738660734
"10162","PF_avg_opp_Team2","FTM_avg_Team2",0.841789017136202,0.841789017136202
"13267","FTM_avg_Team2","PF_avg_opp_Team2",0.841789017136202,0.841789017136202
"11925","AST_to_SCORE_Team2","AST_avg_Team2",0.841424949922606,0.841424949922606
"12600","AST_avg_Team2","AST_to_SCORE_Team2",0.841424949922606,0.841424949922606
"1237","Score_avg_diff_Team1","Winning_percent_Team1",0.837973624929593,0.837973624929593
"1642","Winning_percent_Team1","Score_avg_diff_Team1",0.837973624929593,0.837973624929593
"5623","AST_to_SCORE_Team1","AST_avg_Team1",0.836068207042346,0.836068207042346
"6298","AST_avg_Team1","AST_to_SCORE_Team1",0.836068207042346,0.836068207042346
"3860","PF_avg_opp_Team1","FTM_avg_Team1",0.835420487433117,0.835420487433117
"6965","FTM_avg_Team1","PF_avg_opp_Team1",0.835420487433117,0.835420487433117
"4113","FTP_diff_Team1","FTP_Team1",0.833366722436767,0.833366722436767
"4383","FTP_Team1","FTP_diff_Team1",0.833366722436767,0.833366722436767
"13567","Score_avg_diff_diff","Winning_percent_diff",0.831143893349205,0.831143893349205
"13972","Winning_percent_diff","Score_avg_diff_diff",0.831143893349205,0.831143893349205
"1241","Away_won_prob_Team1","Winning_percent_Team1",0.83068898544405,0.83068898544405
"2186","Winning_percent_Team1","Away_won_prob_Team1",0.83068898544405,0.83068898544405
"7539","Score_avg_diff_Team2","Winning_percent_Team2",0.829265313470232,0.829265313470232
"7944","Winning_percent_Team2","Score_avg_diff_Team2",0.829265313470232,0.829265313470232
"13570","Away_won_prob_diff","Winning_percent_diff",0.827491307042085,0.827491307042085
"14380","Winning_percent_diff","Away_won_prob_diff",0.827491307042085,0.827491307042085
"16994","AST_to_SCORE_diff","AST_diff",0.823548053285696,0.823548053285696
"17669","AST_diff","AST_to_SCORE_diff",0.823548053285696,0.823548053285696
"15484","FTP_diff_diff","FTP_diff",0.822332221494408,0.822332221494408
"15754","FTP_diff","FTP_diff_diff",0.822332221494408,0.822332221494408
"4798","TR_avg_Team1","DR_avg_Team1",0.819911541858041,0.819911541858041
"5068","DR_avg_Team1","TR_avg_Team1",0.819911541858041,0.819911541858041
"16306","TR_opp_diff","DR_opp_diff",0.818828902761275,0.818828902761275
"16576","DR_opp_diff","TR_opp_diff",0.818828902761275,0.818828902761275
"1101","Score_avg_diff_Team1","Games_won_Team1",0.817353194730438,0.817353194730438
"1641","Games_won_Team1","Score_avg_diff_Team1",0.817353194730438,0.817353194730438
"11237","TR_avg_opp_Team2","DR_avg_opp_Team2",0.816112752992314,0.816112752992314
"11507","DR_avg_opp_Team2","TR_avg_opp_Team2",0.816112752992314,0.816112752992314
"4935","TR_avg_opp_Team1","DR_avg_opp_Team1",0.816030688298315,0.816030688298315
"5205","DR_avg_opp_Team1","TR_avg_opp_Team1",0.816030688298315,0.816030688298315
"15897","TR_diff","OR_diff",0.808571916113204,0.808571916113204
"16437","OR_diff","TR_diff",0.808571916113204,0.808571916113204
"17812","STL_to_TO_diff","STL_diff",0.805598401416397,0.805598401416397
"17947","STL_diff","STL_to_TO_diff",0.805598401416397,0.805598401416397
"7","Seed_Diff","Seed_num_Team1",-0.805088740569903,0.805088740569903
"817","Seed_num_Team1","Seed_Diff",-0.805088740569903,0.805088740569903
"16169","TR_diff","DR_diff",0.801752960697354,0.801752960697354
"16439","DR_diff","TR_diff",0.801752960697354,0.801752960697354
"4526","TR_avg_Team1","OR_avg_Team1",0.80122044981718,0.80122044981718
"5066","OR_avg_Team1","TR_avg_Team1",0.80122044981718,0.80122044981718
"10415","FTP_diff_Team2","FTP_Team2",0.799679250676997,0.799679250676997
"10685","FTP_Team2","FTP_diff_Team2",0.799679250676997,0.799679250676997
"7543","Away_won_prob_Team2","Winning_percent_Team2",0.799113782667561,0.799113782667561
"8488","Winning_percent_Team2","Away_won_prob_Team2",0.799113782667561,0.799113782667561
"8770","FGA_avg_Team2","FGM_avg_Team2",0.795443121627697,0.795443121627697
"8905","FGM_avg_Team2","FGA_avg_Team2",0.795443121627697,0.795443121627697
"7403","Score_avg_diff_Team2","Games_won_Team2",0.790513638472152,0.790513638472152
"7943","Games_won_Team2","Score_avg_diff_Team2",0.790513638472152,0.790513638472152
"415","Seed_Diff","Seed_num_Team2",0.787353201051633,0.787353201051633
"820","Seed_num_Team2","Seed_Diff",0.787353201051633,0.787353201051633
"550","Seed_Diff_Team2","Seed_Pre_Team2",0.786914862654445,0.786914862654445
"685","Seed_Pre_Team2","Seed_Diff_Team2",0.786914862654445,0.786914862654445
"6797","BLK_diff","BLK_avg_Team1",0.782488249704812,0.782488249704812
"18002","BLK_avg_Team1","BLK_diff",0.782488249704812,0.782488249704812
"2468","FGA_avg_Team1","FGM_avg_Team1",0.778518444033361,0.778518444033361
"2603","FGM_avg_Team1","FGA_avg_Team1",0.778518444033361,0.778518444033361
"10828","TR_avg_Team2","OR_avg_Team2",0.77846284336736,0.77846284336736
"11368","OR_avg_Team2","TR_avg_Team2",0.77846284336736,0.77846284336736
"139","Seed_Diff_Team1","Seed_Pre_Team1",0.774066151620124,0.774066151620124
"274","Seed_Pre_Team1","Seed_Diff_Team1",0.774066151620124,0.774066151620124
"3428","FGP3_diff_Team1","FGP3_Team1",0.768284663317117,0.768284663317117
"3698","FGP3_Team1","FGP3_diff_Team1",0.768284663317117,0.768284663317117
"10965","TR_avg_opp_Team2","OR_avg_opp_Team2",0.766016166437151,0.766016166437151
"11505","OR_avg_opp_Team2","TR_avg_opp_Team2",0.766016166437151,0.766016166437151
"11100","TR_avg_Team2","DR_avg_Team2",0.760072173690401,0.760072173690401
"11370","DR_avg_Team2","TR_avg_Team2",0.760072173690401,0.760072173690401
"7208","EFF_diff","EFF_Team1",0.759955667532834,0.759955667532834
"18413","EFF_Team1","EFF_diff",0.759955667532834,0.759955667532834
"6441","STL_to_TO_Team1","STL_avg_Team1",0.759312952384061,0.759312952384061
"6576","STL_avg_Team1","STL_to_TO_Team1",0.759312952384061,0.759312952384061
"15073","FGP3_diff_diff","FGP3_diff",0.756802291404151,0.756802291404151
"15343","FGP3_diff","FGP3_diff_diff",0.756802291404151,0.756802291404151
"12743","STL_to_TO_Team2","STL_avg_Team2",0.756141931806034,0.756141931806034
"12878","STL_avg_Team2","STL_to_TO_Team2",0.756141931806034,0.756141931806034
"16034","TR_opp_diff","OR_opp_diff",0.754939726739775,0.754939726739775
"16574","OR_opp_diff","TR_opp_diff",0.754939726739775,0.754939726739775
"4194","FTP_diff","FTP_Team1",0.754520408772692,0.754520408772692
"15399","FTP_Team1","FTP_diff",0.754520408772692,0.754520408772692
"4468","FTP_diff_diff","FTP_diff_Team1",0.75286853053829,0.75286853053829
"15673","FTP_diff_Team1","FTP_diff_diff",0.75286853053829,0.75286853053829
"2965","FGP_opp_diff","FGP_opp_Team1",-0.74969594947793,0.74969594947793
"14710","FGP_opp_Team1","FGP_opp_diff",-0.74969594947793,0.74969594947793
"3102","FGP_diff_diff","FGP_diff_Team1",0.749656438080126,0.749656438080126
"14847","FGP_diff_Team1","FGP_diff_diff",0.749656438080126,0.749656438080126
"7682","FGA_avg_Team2","Score_avg_Team2",0.749541770303827,0.749541770303827
"8897","Score_avg_Team2","FGA_avg_Team2",0.749541770303827,0.749541770303827
"1105","Away_won_prob_Team1","Games_won_Team1",0.748719372699287,0.748719372699287
"2185","Games_won_Team1","Away_won_prob_Team1",0.748719372699287,0.748719372699287
"1735","Score_avg_diff_diff","Score_avg_diff_Team1",0.746114874927559,0.746114874927559
"13885","Score_avg_diff_Team1","Score_avg_diff_diff",0.746114874927559,0.746114874927559
"3785","FGP3_diff_diff","FGP3_diff_Team1",0.745392326435922,0.745392326435922
"15260","FGP3_diff_Team1","FGP3_diff_diff",0.745392326435922,0.745392326435922
"5153","TR_diff","TR_avg_Team1",0.744525849953528,0.744525849953528
"16358","TR_avg_Team1","TR_diff",0.744525849953528,0.744525849953528
"3511","FGP3_diff","FGP3_Team1",0.744073911043538,0.744073911043538
"14986","FGP3_Team1","FGP3_diff",0.744073911043538,0.744073911043538
"1324","Winning_percent_diff","Winning_percent_Team1",0.743846739324808,0.743846739324808
"13474","Winning_percent_Team1","Winning_percent_diff",0.743846739324808,0.743846739324808
"14662","FGP_diff_diff","FGP_diff",0.74375722072605,0.74375722072605
"14932","FGP_diff","FGP_diff_diff",0.74375722072605,0.74375722072605
"9045","FGP_diff_Team2","FGP_Team2",0.743103142264928,0.743103142264928
"9315","FGP_Team2","FGP_diff_Team2",0.743103142264928,0.743103142264928
"2743","FGP_diff_Team1","FGP_Team1",0.740064228982202,0.740064228982202
"3013","FGP_Team1","FGP_diff_Team1",0.740064228982202,0.740064228982202
"2828","FGP_diff","FGP_Team1",0.739416994171878,0.739416994171878
"14573","FGP_Team1","FGP_diff",0.739416994171878,0.739416994171878
"12916","STL_to_TO_diff","STL_to_TO_Team2",-0.737121307181919,0.737121307181919
"17911","STL_to_TO_Team2","STL_to_TO_diff",-0.737121307181919,0.737121307181919
"9730","FGP3_diff_Team2","FGP3_Team2",0.735432293783518,0.735432293783518
"10000","FGP3_Team2","FGP3_diff_Team2",0.735432293783518,0.735432293783518
"1685","EFF_Team1","Score_avg_diff_Team1",0.732275963498863,0.732275963498863
